label,text
misleading, A post that has a list of recommendations to prevent and treat the new coronavirus.
false," The first person to received a Chinese COVID-19 vaccine that is being tested in Brazil was not actually vaccinated. The video was just a simulation, since the cap of the injection was still on."
false," A video from family doctor Natalia Prego Cancel criticizing PCR, the test used to detect coronavirus in active infections."
false, RNA-based COVID-19 vaccines can turn humans into genetically modified organisms.
false, A post that shows a doctor from Santiago del Estero (Argentina) who is fighting against the coronavirus.
false," According to the Brazilian Civil Registry, there were more deaths in 2019 than in 2020, considering the first semester only."
false, A journalist who denounced politicians in Pará for stealing funds destined to fight COVID-19 was shot and killed.
false," Ziraldo, Brazilian artist, said that “thanks to this wonderful drug chloroquine”, Bolsonaro was cured of COVID-19 in seven days."
false," A chain indicating that a newborn named Martín Sosa is admitted to the Children’s Hospital (CABA, Argentina)."
false," Uruguay gave 55,000 doses of medecine for Brazil to fight COVID-19."
false," WHO approved home remedy made with pepper, ginger juice and honey as a cure for COVID-19."
false," The Federal Government fired 396 thousand public servants who received, illegally, the emergency COVID-19 allowance."
false, A publication on social media that claims that “cases of pleurisy induced by hypoxia are occurring” due to the use of the mask by supermarket employees.
misleading, A post that indicates that Spanish doctors say that face masks don’t work outdoors.
false," An audio that denounces the falsification of death certificates at the Hospital de Clínicas (CABA, Argentina) to increase deaths from coronavirus."
false, Content stating that “WHO now admits that” perhaps “there was never a reason for a lockdown.”
false, French doctors protest after discovering COVID-19 pandemic is a fraud.
false," A viral message that says that “those over 60 years of age” can get from pharmacies “a pack of three masks per month (…) from Wednesday 29 July.” The text is shared as coming from the Spanish regions of Andalusia, Catalonia, Castilla y León, the Valencian Community or the Basque Country."
false," Claim that Globo deliberately distorted a graphic to manipulate COVID-19 stats in Petrolina, Brazil. The graphics shown by the TV station show different sized columns representing 8 total deaths in 2 separate days, giving the impression that the number of confirmed deaths grew, when it remained stagnant."
false, A graph that correlates greater vaccination against influenza in those over 65 years of age and a higher mortality rate compared to COVID-19.
false," Ivermectin has had good results in the COVID-19 treatment in Bolivia, the Dominican Republic, New Zealand, Australia, and African countries."
false, A message that claims that there are criminals stopping on the street those who do not wear a mask to distribute one that is “impregnated with a certain substance” in order to steal from them.
misleading," A picture showing the Italian Prime Minister Giuseppe Conte, the French President Emmanuel Macron and the German Chancellor Angela Merkel having a drink together, with no masks and not respecting social distancing measures."
misleading," A publication that claims that in 1918 the American city of Philadelphia “prematurely ended its quarantine of the Spanish flu and launched a demonstration against the measures of staying at home”, which led to a peak of infections, hospitalizations and deaths."
false," Alberto Fernández, president of Argentina: “When the health system is saturated, mortality doubles or triples. This is what happened, for example, in the Basque Country”."
false, A study in Germany of 780 patients proved that Vitamin D is an effective treatment against COVID-19.
misleading, An image that compares the main causes of death in the world in 2017 with those caused by COVID-19 this year.
false, WHO changed its directives: No need to isolate infected people.
false," The governor of Bahia, Rui Costa, determined that all hydroxychloroquine tablets were confiscated from pharmacies around the state."
false," Brazilian prefectures are being paid 19 thousand reais per COVID-19 death, which is why numbers are being inflated."
false, An image in which two people turn their backs to the State ceremony that took place this July 16 in honor of the victims of COVID-19. He moves with a message that they are members of Podemos who turned around while King Felipe VI spoke.
false," A quote by doctor Alberto Zangrillo, saying that Covid-19 is a consequence of immigration."
false, Oxford’s vaccine is a result of research from brazilian foundation Fiocruz.
false, Some statements by the American political scientist and activist Susan George in which she says that “Spaniards are laboratory rats: let’s see how much punishment they tolerate without rebelling.” The phrase is shared related to the current coronavirus pandemic.
false," A video with text that claims to offer information about the coronavirus that “comes from the Japanese Ministry of Health.” It claims that when the first symptoms of the infection appear, the lungs already show 50% fibrosis."
false, French Prime Minister and Health Minister were expelled from the government after banning chloroquine in the country.
false," A small city on the countryside of Brazil cured 1,500 people with hydroxichloroquine and the city has no deaths."
false, Singapore’s Health ministry issued an advisory about the day-to-day progression of COVID-19 symptoms in patients during the first nine days of infection.
false, US Education Secretary Betsy DeVos said children are “stoppers” of coronavirus.
false," If a patient is diagnosed with COVID-19 and the doctor refuses to prescribe hydroxichloroquine, the patient is entitled to a lawsuit."
false," The total number of deaths in Brazil decreased, rather than increased, when we compare 2019 to 2020."
false," People who are sick with COVID-19, when locked at home, keep breathing their own viruses and getting re-infected."
